userid,firstname,lastname,countrycode,rating
22,Adair,Berick,WS,3.6
58,Adella,McGilvray,PH,4.8
6,Ronnie,Yegorchenkov,RU,4.7
85,Legra,Holdron,CL,1.8
62,Arleen,Rodgerson,SE,4.5
67,Gottfried,Tidbold,US,2.7
1,Kiel,Dilland,UA,3.3
14,Fara,Desesquelle,TH,4.2
48,Gabi,Denisyev,CN,2.4
45,Elsie,Maria,AL,4.5
72,Mick,Kilmartin,CZ,4.3
92,Cyndia,Walster,IL,4.9
49,Jordanna,Kennealy,LV,2.1
72,Jayme,Dederich,GL,4.8
28,Collie,Beckford,US,4.1
4,Kassia,Foxwell,RU,3.0
54,Garnet,Scranedge,ID,4.7
58,Ettore,Mouland,NA,4.9
21,Padraig,Whitcomb,CN,4.2
93,Taffy,Flatman,CN,1.8
22,Fairlie,Kennaway,NO,2.3
31,Colette,Tritton,CO,2.8
94,Joletta,Allpress,AT,2.3
35,Sonia,Tuxsell,FR,4.5
71,Ferdinande,McKirton,BR,4.8
88,Burty,Cleere,PH,1.7
100,Anjanette,Burgot,CR,2.8
27,Brew,Monaghan,RU,2.5
26,Bernard,Worledge,PT,1.6
98,Valina,Mounce,CA,1.3
50,Tonnie,Geddis,MG,1.5
38,Fonz,Cauthra,MA,1.7
91,Kizzee,O' Borne,PH,2.7
3,Simon,Bidwell,CN,1.4
53,Estell,Dixson,RU,4.4
8,Wit,Harbar,PT,3.8
10,Stefania,Perrelli,ID,3.1
15,Gianna,Dorning,BR,1.5
65,Kaye,Govier,ID,2.0
41,Jewelle,Ellens,KZ,1.8
7,Shannon,Hinchon,GT,5.0
89,Roslyn,Chidwick,MN,2.6
20,Jerad,Molfino,AR,2.3
7,Wally,Scatchar,CZ,2.4
97,Kessia,Coche,CN,2.3
62,Batsheva,Lowerson,NL,2.0
50,Gill,Adaway,HR,4.8
89,Mayer,Ianne,CN,1.1
21,Robinette,McClaren,ID,4.7
5,Hendrik,Orwin,ID,4.7
3,Fifi,Lyness,CN,2.5
84,Pansy,Shellard,CN,2.7
45,Domini,Assinder,PT,4.9
